coin Name,ticker,price,percentage,market_cap,total_coin
Bitcoin,BTC,"$  31,550 ",-0.72%,$ 601.18B ,19.05M
Ethereum,ETH,"$  1,937.83 ",-0.26%,$ 234.48B ,121.00M
Waves,WAVES,$  8.77 ,-2.90%,$ 877.23M ,100.00M
Cardano,ADA,$  0.610471 ,-2.49%,$ 19.50B ,31.94B
Binanceusd,BUSD,$  0.999919 ,+0.10%,$ 1.68B ,1.68B
Luna,LUNA,$  7.18 ,-18.51%,,
Binancecoin,BNB,$  317.87 ,-0.84%,$ 49.12B ,154.53M
NuCypher,NU,$  0.360257 ,+108.77%,$ 125.88M ,349.42M
Ripple,XRP,$  0.417186 ,-1.16%,$ 20.16B ,48.34B
Tron,TRX,$  0.089951 ,+6.92%,$ 6.44B ,71.65B
Solana,SOL,$  44.93 ,-1.74%,$ 11.76B ,261.90M
Avalanche,AVAX,$  25.76 ,-2.43%,$ 3.29B ,128.01M
Dogecoin,DOGE,$  0.088144 ,+2.73%,$ 11.40B ,129.40B
Tether,USDT,$  0.998939 ,+0.05%,$ 42.94B ,42.99B
STEPN,GMT,$  1.14 ,-3.73%,$ 683.61M ,600.00M
Litecoin,LTC,$  68.71 ,+0.28%,$ 4.63B ,67.40M
Threshold Network Token,T,$  0.063681 ,+34.38%,,
Polkadot,DOT,$  10.40 ,+0.40%,$ 9.86B ,947.85M
Apecoin,APE,$  6.78 ,+0.07%,$ 835.25M ,123.24M
NEAR Protocol,NEAR,$  5.84 ,-1.88%,$ 1.99B ,341.32M
Axie Infinity,AXS,$  22.60 ,-5.39%,$ 977.44M ,43.25M
Polygon,MATIC,$  0.644540 ,-2.62%,$ 3.87B ,6.00B
Chainlink,LINK,$  7.53 ,-0.68%,$ 3.14B ,417.50M
Originprotocol,OGN,$  0.316581 ,-5.42%,$ 87.21M ,275.47M
Ethereumclassic,ETC,$  23.60 ,-0.72%,$ 3.00B ,127.32M
Eos,EOS,$  1.37 ,-1.00%,$ 1.40B ,1.02B
SHIBA INU,SHIB,$  0.000012 ,+0.59%,$ 5.86B ,497.73T
Bitcoincash,BCH,$  201.02 ,-1.84%,$ 3.75B ,18.67M
Aave,AAVE,$  116.36 ,+3.13%,$ 1.23B ,10.58M
Kava,KAVA,$  2.78 ,-4.35%,$ 226.57M ,81.44M
Cosmos,ATOM,$  10.37 ,+0.46%,$ 1.97B ,190.68M
Stpt,STPT,$  0.056357 ,+19.52%,,
Zilliqa,ZIL,$  0.053619 ,-2.14%,$ 757.36M ,14.12B
Wemix,WEMIX,$  3.96 ,-8.86%,,
Filecoin,FIL,$  7.99 ,-1.18%,$ 948.84M ,118.75M
Sandbox,SAND,$  1.40 ,-3.15%,$ 924.10M ,658.22M
Usd coin,USDC,$  0.998018 ,+0.16%,$ 6.99B ,7.00B
Sushi,SUSHI,$  1.77 ,-5.29%,$ 430.11M ,242.49M
Decentraland,MANA,$  1.05 ,-3.47%,$ 1.10B ,1.05B
Stellarlumens,XLM,$  0.146397 ,-2.60%,$ 3.64B ,24.92B
Fantom,FTM,$  0.395046 ,-2.10%,$ 1.00B ,2.54B
Kyber,KNC,$  2.14 ,-2.83%,$ 387.76M ,180.93M
Monero,XMR,$  196.18 ,-0.89%,$ 3.32B ,16.92M
Algorand,ALGO,$  0.415985 ,+1.27%,$ 1.35B ,3.25B
Gala,GALA,$  0.080874 ,-2.52%,$ 610.19M ,7.54B
Neo,NEO,$  11.67 ,+1.26%,$ 823.31M ,70.53M
dKargo,DKA,$  0.066317 ,+8.38%,,
Thorchain,RUNE,$  3.09 ,-2.09%,$ 820.31M ,265.17M
Terra Luna Classic,LUNC,$  0.000105 ,-7.60%,$ 688.70M ,6.53T
ConstitutionDAO,PEOPLE,$  0.022700 ,-1.65%,,
Loopring,LRC,$  0.568966 ,+0.52%,$ 751.03M ,1.32B
Dash,DASH,$  64.41 ,-0.50%,$ 692.66M ,10.75M
Uniswap,UNI,$  5.66 ,-0.80%,$ 2.96B ,523.25M
Biconomy,BICO,$  0.802657 ,-7.26%,,
Vechain,VET,$  0.033233 ,+1.27%,$ 1.84B ,55.45B
Zcash,ZEC,$  93.74 ,+0.42%,$ 1.36B ,14.50M
Compound,COMP,$  66.26 ,+4.06%,$ 169.70M ,2.56M
BitDAO,BIT,$  0.755561 ,+1.24%,,
Thetatoken,THETA,$  1.33 ,-0.63%,$ 1.15B ,870.50M
Internet Computer,ICP,$  8.11 ,-1.94%,$ 1.11B ,136.89M
Curve DAO Token,CRV,$  1.37 ,-0.99%,$ 653.32M ,477.42M
Thetafuel,TFUEL,$  0.065572 ,+3.58%,$ 251.68M ,3.83B
Jasmy,JASMY,$  0.012958 ,-4.22%,$ 61.61M ,4.75B
Oasis Network,ROSE,$  0.075307 ,-4.96%,,
Immutable X,IMX,$  1.06 ,-4.14%,,
dYdX,DYDX,$  2.03 ,-0.14%,$ 115.73M ,57.07M
Synthetixnetwork,SNX,$  3.19 ,+2.11%,$ 461.72M ,144.61M
