coin Name,ticker,price,percentage,market_cap,total_coin
Kusama,KSM,$  81.25 ,+1.88%,$ 729.65M ,8.98M
Enjin,ENJ,$  0.680609 ,-2.57%,$ 522.10M ,767.10M
Anchor Protocol,ANC,$  0.211858 ,-8.49%,,
Chiliz,CHZ,$  0.127887 ,+4.64%,$ 709.47M ,5.54B
Elrond,EGLD,$  79.36 ,-1.31%,$ 1.36B ,17.14M
Just,JST,$  0.046755 ,+4.61%,$ 105.68M ,2.26B
SuperRare,RARE,$  0.278828 ,-1.41%,,
Qtum,QTUM,$  4.17 ,+0.18%,$ 372.36M ,89.40M
Iostoken,IOST,$  0.018693 ,+3.31%,$ 127.00M ,6.79B
The Graph,GRT,$  0.160500 ,-1.53%,$ 196.61M ,1.22B
OMG Network,OMG,$  2.78 ,+0.83%,$ 389.53M ,140.24M
Holotoken,HOT,$  0.002695 ,-9.01%,$ 434.78M ,161.33B
0x,ZRX,$  0.440610 ,+3.55%,$ 372.46M ,845.34M
Chromia,CHR,$  0.251896 ,-4.41%,$ 142.91M ,567.36M
Ethereum Name Service,ENS,$  11.73 ,-1.08%,,
Celo,CELO,$  1.45 ,-1.67%,$ 141.74M ,97.94M
Tezos,XTZ,$  2.10 ,+0.37%,$ 1.54B ,737.88M
Bella Protocol,BEL,$  0.799470 ,-6.92%,,
BakeryToken,BAKE,$  0.393746 ,+10.05%,,
MyNeighborAlice,ALICE,$  3.07 ,-2.19%,,
Maker,MKR,"$  1,313.21 ",-0.46%,$ 1.32B ,1.00M
Bat,BAT,$  0.414573 ,+2.98%,$ 621.85M ,1.50B
Ftxtoken,FTT,$  28.51 ,-1.50%,$ 2.68B ,94.34M
Dent,DENT,$  0.001325 ,-5.71%,$ 126.78M ,95.65B
1inch,1INCH,$  0.979352 ,+1.13%,$ 147.79M ,150.91M
Project Galaxy,GAL,$  4.71 ,-4.12%,,
Voyager,VGX,$  1.21 ,+18.41%,$ 267.88M ,222.29M
Hunt,HUNT,$  0.559276 ,-5.64%,,
Aelf,ELF,$  0.168887 ,+3.43%,$ 42.22M ,250.00M
Flow (Dapper labs),FLOW,$  2.65 ,-2.43%,$ 151.25M ,57.06M
Swipe,SXP,$  0.533232 ,+3.28%,$ 99.91M ,187.37M
Step App,FITFI,$  0.127128 ,-3.88%,,
Stratis,STRAX,$  0.626005 ,+3.70%,$ 62.64M ,100.07M
